OrphaNumber,Disorder_Name,External_Source,External_ID,External_Mapping_Rel,External_Mapping_Status,Disorder_Synonyms
564,Meckel syndrome,OMIM,613885,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Dysencephalia splanchnocystica|Meckel-Gruber syndrome
564,Meckel syndrome,OMIM,609345,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Dysencephalia splanchnocystica|Meckel-Gruber syndrome
564,Meckel syndrome,OMIM,614209,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Dysencephalia splanchnocystica|Meckel-Gruber syndrome
564,Meckel syndrome,OMIM,617562,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Dysencephalia splanchnocystica|Meckel-Gruber syndrome
289,Ellis Van Creveld syndrome,OMIM,617088,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Chondroectodermal dysplasia|Mesodermic dysplasia
289,Ellis Van Creveld syndrome,OMIM,618123,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Chondroectodermal dysplasia|Mesodermic dysplasia
289,Ellis Van Creveld syndrome,OMIM,225500,E (Exact mapping: the two concepts are equivalent),Validated,Chondroectodermal dysplasia|Mesodermic dysplasia
258,Laminin subunit alpha 2-related congenital muscular dystrophy,OMIM,618138,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,CMD1A|Congenital muscular dystrophy due to laminin alpha2 deficiency|Congenital muscular dystrophy type 1A|MDC1A|Merosin-negative congenital muscular dystrophy
258,Laminin subunit alpha 2-related congenital muscular dystrophy,OMIM,607855,E (Exact mapping: the two concepts are equivalent),Validated,CMD1A|Congenital muscular dystrophy due to laminin alpha2 deficiency|Congenital muscular dystrophy type 1A|MDC1A|Merosin-negative congenital muscular dystrophy
1247,Schistosomiasis,OMIM,181460,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Bilharziasis
112,Bartter syndrome,OMIM,241200,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,"Renal tubular normotensive hypokalemic alkalosis with hypercalciuria|Salt-losing tubular disorder, Henle's loop type|Salt-wasting tubulopathy, Henle's loop type"
112,Bartter syndrome,OMIM,601198,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,"Renal tubular normotensive hypokalemic alkalosis with hypercalciuria|Salt-losing tubular disorder, Henle's loop type|Salt-wasting tubulopathy, Henle's loop type"
112,Bartter syndrome,OMIM,601678,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,"Renal tubular normotensive hypokalemic alkalosis with hypercalciuria|Salt-losing tubular disorder, Henle's loop type|Salt-wasting tubulopathy, Henle's loop type"
112,Bartter syndrome,OMIM,602522,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,"Renal tubular normotensive hypokalemic alkalosis with hypercalciuria|Salt-losing tubular disorder, Henle's loop type|Salt-wasting tubulopathy, Henle's loop type"
112,Bartter syndrome,OMIM,607364,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,"Renal tubular normotensive hypokalemic alkalosis with hypercalciuria|Salt-losing tubular disorder, Henle's loop type|Salt-wasting tubulopathy, Henle's loop type"
112,Bartter syndrome,OMIM,613090,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,"Renal tubular normotensive hypokalemic alkalosis with hypercalciuria|Salt-losing tubular disorder, Henle's loop type|Salt-wasting tubulopathy, Henle's loop type"
112,Bartter syndrome,OMIM,300971,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,"Renal tubular normotensive hypokalemic alkalosis with hypercalciuria|Salt-losing tubular disorder, Henle's loop type|Salt-wasting tubulopathy, Henle's loop type"
1646,Partial chromosome Y deletion,OMIM,400042,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Male sterility due to chromosome Y deletion
1646,Partial chromosome Y deletion,OMIM,415000,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Male sterility due to chromosome Y deletion
169464,Primary CD59 deficiency,OMIM,612300,E (Exact mapping: the two concepts are equivalent),Validated,
116,Beckwith-Wiedemann syndrome,OMIM,130650,E (Exact mapping: the two concepts are equivalent),Validated,BWS|Exomphalos-macroglossia-gigantism syndrome|Wiedemann-Beckwith syndrome
87,Apert syndrome,OMIM,101200,E (Exact mapping: the two concepts are equivalent),Validated,ACS1|Acrocephalosyndactyly type 1
97,Familial paroxysmal ataxia,OMIM,108500,E (Exact mapping: the two concepts are equivalent),Validated,Episodic ataxia type 2
169467,Recurrent Neisseria infections due to factor D deficiency,OMIM,613912,E (Exact mapping: the two concepts are equivalent),Validated,
313,Lamellar ichthyosis,OMIM,242300,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,Classic lamellar ichthyosis|Congenital lamellar ichthyosis|LI
313,Lamellar ichthyosis,OMIM,601277,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Classic lamellar ichthyosis|Congenital lamellar ichthyosis|LI
313,Lamellar ichthyosis,OMIM,604777,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Classic lamellar ichthyosis|Congenital lamellar ichthyosis|LI
313,Lamellar ichthyosis,OMIM,606545,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Classic lamellar ichthyosis|Congenital lamellar ichthyosis|LI
313,Lamellar ichthyosis,OMIM,612281,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Classic lamellar ichthyosis|Congenital lamellar ichthyosis|LI
313,Lamellar ichthyosis,OMIM,613943,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Classic lamellar ichthyosis|Congenital lamellar ichthyosis|LI
313,Lamellar ichthyosis,OMIM,617571,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Classic lamellar ichthyosis|Congenital lamellar ichthyosis|LI
169799,Mild hemophilia B,OMIM,306900,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,Mild congenital F9 deficiency|Mild congenital factor IX deficiency
169796,Moderate hemophilia B,OMIM,306900,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,Moderate congenital F9 deficiency|Moderate congenital factor IX deficiency
169793,Severe hemophilia B,OMIM,306900,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,Severe congenital F9 deficiency|Severe congenital factor IX deficiency
1000,Ocular albinism with late-onset sensorineural deafness,OMIM,300650,E (Exact mapping: the two concepts are equivalent),Validated,Ocular albinism with late-onset sensorineural hearing loss
999,Ermine phenotype,OMIM,227010,E (Exact mapping: the two concepts are equivalent),Validated,O'Doherty syndrome|Pigmentary disorder with deafness|Pigmentary disorder with hearing loss
171430,Severe congenital nemaline myopathy,OMIM,615348,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171430,Severe congenital nemaline myopathy,OMIM,161800,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171430,Severe congenital nemaline myopathy,OMIM,256030,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171430,Severe congenital nemaline myopathy,OMIM,615731,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171430,Severe congenital nemaline myopathy,OMIM,616165,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171433,Intermediate nemaline myopathy,OMIM,609284,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171433,Intermediate nemaline myopathy,OMIM,256030,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171433,Intermediate nemaline myopathy,OMIM,615731,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171433,Intermediate nemaline myopathy,OMIM,161800,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171436,Typical nemaline myopathy,OMIM,161800,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171436,Typical nemaline myopathy,OMIM,610687,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171436,Typical nemaline myopathy,OMIM,609285,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171436,Typical nemaline myopathy,OMIM,256030,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171436,Typical nemaline myopathy,OMIM,615731,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171436,Typical nemaline myopathy,OMIM,616165,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
171439,Childhood-onset nemaline myopathy,OMIM,161800,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Mild nemaline myopathy
171439,Childhood-onset nemaline myopathy,OMIM,609285,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Mild nemaline myopathy
171439,Childhood-onset nemaline myopathy,OMIM,609284,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Mild nemaline myopathy
171439,Childhood-onset nemaline myopathy,OMIM,256030,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Mild nemaline myopathy
171439,Childhood-onset nemaline myopathy,OMIM,609273,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Mild nemaline myopathy
171439,Childhood-onset nemaline myopathy,OMIM,615731,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Mild nemaline myopathy
171439,Childhood-onset nemaline myopathy,OMIM,617336,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Mild nemaline myopathy
171445,Muscle filaminopathy,OMIM,609524,E (Exact mapping: the two concepts are equivalent),Validated,
171607,X-linked spastic paraplegia type 34,OMIM,300750,E (Exact mapping: the two concepts are equivalent),Validated,SPG34
2771,Bruck syndrome,OMIM,259450,E (Exact mapping: the two concepts are equivalent),Validated,Osteogenesis imperfecta-congenital joint contractures syndrome
2771,Bruck syndrome,OMIM,609220,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Osteogenesis imperfecta-congenital joint contractures syndrome
171612,Autosomal dominant spastic paraplegia type 37,OMIM,611945,E (Exact mapping: the two concepts are equivalent),Validated,SPG37
171617,Autosomal dominant spastic paraplegia type 38,OMIM,612335,E (Exact mapping: the two concepts are equivalent),Validated,SPG38
171622,Autosomal recessive spastic paraplegia type 32,OMIM,611252,E (Exact mapping: the two concepts are equivalent),Validated,SPG32
171629,Autosomal recessive spastic paraplegia type 35,OMIM,612319,E (Exact mapping: the two concepts are equivalent),Validated,SPG35
861,Treacher-Collins syndrome,OMIM,618939,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Franceschetti-Klein syndrome|Mandibulofacial dysostosis without limb anomalies
861,Treacher-Collins syndrome,OMIM,154500,E (Exact mapping: the two concepts are equivalent),Validated,Franceschetti-Klein syndrome|Mandibulofacial dysostosis without limb anomalies
861,Treacher-Collins syndrome,OMIM,248390,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Franceschetti-Klein syndrome|Mandibulofacial dysostosis without limb anomalies
861,Treacher-Collins syndrome,OMIM,613717,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Franceschetti-Klein syndrome|Mandibulofacial dysostosis without limb anomalies
308,Progressive myoclonic epilepsy type 1,OMIM,254800,E (Exact mapping: the two concepts are equivalent),Validated,EPM1|Progressive myoclonus epilepsy type 1|ULD|Unverricht-Lundborg disease
308,Progressive myoclonic epilepsy type 1,OMIM,310370,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,EPM1|Progressive myoclonus epilepsy type 1|ULD|Unverricht-Lundborg disease
308,Progressive myoclonic epilepsy type 1,OMIM,612437,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,EPM1|Progressive myoclonus epilepsy type 1|ULD|Unverricht-Lundborg disease
199,Cornelia de Lange syndrome,OMIM,122470,E (Exact mapping: the two concepts are equivalent),Validated,Brachmann-de Lange syndrome
199,Cornelia de Lange syndrome,OMIM,300590,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Brachmann-de Lange syndrome
199,Cornelia de Lange syndrome,OMIM,300882,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Brachmann-de Lange syndrome
199,Cornelia de Lange syndrome,OMIM,610759,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Brachmann-de Lange syndrome
199,Cornelia de Lange syndrome,OMIM,614701,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Brachmann-de Lange syndrome
2162,Holoprosencephaly,OMIM,609637,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
2162,Holoprosencephaly,OMIM,610828,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
2162,Holoprosencephaly,OMIM,610829,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
2162,Holoprosencephaly,OMIM,612530,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,HPE
2162,Holoprosencephaly,OMIM,614226,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
2162,Holoprosencephaly,OMIM,142945,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
2162,Holoprosencephaly,OMIM,142946,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
2162,Holoprosencephaly,OMIM,147250,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
2162,Holoprosencephaly,OMIM,157170,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
2162,Holoprosencephaly,OMIM,236100,E (Exact mapping: the two concepts are equivalent),Validated,HPE
2162,Holoprosencephaly,OMIM,605934,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
2162,Holoprosencephaly,OMIM,609408,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,HPE
930,Idiopathic achalasia,OMIM,200400,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Achalasia cardia|Idiopathic achalasia of esophagus|Primary achalasia
998,Albinism-deafness syndrome,OMIM,300700,E (Exact mapping: the two concepts are equivalent),Validated,Albinism-hearing loss syndrome
1727,22q11.2 duplication syndrome,OMIM,608363,E (Exact mapping: the two concepts are equivalent),Validated,22q11.2 microduplication syndrome|Dup(22)(q11)|Duplication 22q11.2|Trisomy 22q11.2
169079,Cernunnos-XLF deficiency,OMIM,611291,E (Exact mapping: the two concepts are equivalent),Validated,Cernunnos XLFD|Cernunnos deficiency|Combined immunodeficiency-microcephaly-growth retardation-sensitivity to ionizing radiation syndrome|NHEJ1 deficiency
168984,CLAPO syndrome,OMIM,613089,E (Exact mapping: the two concepts are equivalent),Validated,
168972,Kahrizi syndrome,OMIM,612713,E (Exact mapping: the two concepts are equivalent),Validated,"Intellectual disability, Kahrizi type|Intellectual disability-cataract-coloboma-kyphosis syndrome"
169100,Immunodeficiency due to CD25 deficiency,OMIM,606367,E (Exact mapping: the two concepts are equivalent),Validated,Interleukin-2 receptor alpha chain deficiency
169090,Combined immunodeficiency due to CRAC channel dysfunction,OMIM,612782,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Immune dysfunction due to T-cell inactivation due to calcium entry defect
169090,Combined immunodeficiency due to CRAC channel dysfunction,OMIM,612783,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Immune dysfunction due to T-cell inactivation due to calcium entry defect
169095,Severe combined immunodeficiency due to FOXN1 deficiency,OMIM,618806,E (Exact mapping: the two concepts are equivalent),Validated,Alymphoid cystic thymic dysgenesis|Nude/SCID|Nude/severe combined immunodeficiency|SCID due to FOXN1 deficiency|Severe T-cell immunodeficiency-congenital alopecia-nail dystrophy syndrome|Winged helix deficiency
169095,Severe combined immunodeficiency due to FOXN1 deficiency,OMIM,601705,E (Exact mapping: the two concepts are equivalent),Validated,Alymphoid cystic thymic dysgenesis|Nude/SCID|Nude/severe combined immunodeficiency|SCID due to FOXN1 deficiency|Severe T-cell immunodeficiency-congenital alopecia-nail dystrophy syndrome|Winged helix deficiency
169082,Combined immunodeficiency due to CD3gamma deficiency,OMIM,615607,E (Exact mapping: the two concepts are equivalent),Validated,
169085,Susceptibility to respiratory infections associated with CD8alpha chain mutation,OMIM,608957,E (Exact mapping: the two concepts are equivalent),Validated,Familial CD8 deficiency
753,"46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency",OMIM,264600,E (Exact mapping: the two concepts are equivalent),Validated,"46,XY DSD due to 5-alpha-reductase 2 deficiency|Pseudovaginal perineoscrotal hypospadias|Steroid 5-alpha-reductase 2 deficiency"
868,Triose phosphate-isomerase deficiency,OMIM,615512,E (Exact mapping: the two concepts are equivalent),Validated,
218,Darier disease,OMIM,124200,E (Exact mapping: the two concepts are equivalent),Validated,Darier-White disease|Keratosis follicularis
168796,"Heart-hand syndrome, Slovenian type",OMIM,610140,E (Exact mapping: the two concepts are equivalent),Validated,"Atriodigital dysplasia, Slovenian type|Cardiac conduction disease-dilated cardiomyopathy-brachydactyly syndrome"
1465,Coffin-Siris syndrome,OMIM,618779,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,135900,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,614607,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,614608,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,614609,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,615866,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,616938,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,617808,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,619325,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,618506,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,618027,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
1465,Coffin-Siris syndrome,OMIM,618362,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,CSS
168953,Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement,OMIM,613523,E (Exact mapping: the two concepts are equivalent),Validated,8p11 myeloproliferative syndrome|Stem cell leukemia/lymphoma
1600,Monosomy 18q,OMIM,601808,E (Exact mapping: the two concepts are equivalent),Validated,18q deletion syndrome|18q- syndrome|Deletion 18q
1598,Monosomy 18p,OMIM,146390,E (Exact mapping: the two concepts are equivalent),Validated,18p- syndrome|De Grouchy syndrome
2772,Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,OMIM,259410,E (Exact mapping: the two concepts are equivalent),Validated,
2609,Isolated complex I deficiency,OMIM,618230,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618232,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618241,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618222,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618229,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618236,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618233,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618240,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,619003,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,252010,E (Exact mapping: the two concepts are equivalent),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,301021,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618237,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618224,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618246,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,301020,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618228,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,619272,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618225,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618776,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618234,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618250,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618226,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618245,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618251,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,619170,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618253,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618238,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
2609,Isolated complex I deficiency,OMIM,618242,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Isolated NADH-CoQ reductase deficiency|Isolated NADH-coenzyme Q reductase deficiency|Isolated NADH-ubiquinone reductase deficiency|Isolated mitochondrial respiratory chain complex I deficiency
626,Large congenital melanocytic nevus,OMIM,137550,E (Exact mapping: the two concepts are equivalent),Validated,Congenital pigmented nevus|GMN|Giant congenital melanocytic nevus|Giant pigmented hairy nevus|LCMN
773,Refsum disease,OMIM,266500,E (Exact mapping: the two concepts are equivalent),Validated,Adult Refsum disease|Classic Refsum disease|HMSN 4|HMSN IV|Hereditary motor and sensory neuropathy type 4|Hereditary motor and sensory neuropathy type IV|Heredopathia atactica polyneuritiformis|Phytanic-CoA hydroxylase deficiency
773,Refsum disease,OMIM,614879,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Adult Refsum disease|Classic Refsum disease|HMSN 4|HMSN IV|Hereditary motor and sensory neuropathy type 4|Hereditary motor and sensory neuropathy type IV|Heredopathia atactica polyneuritiformis|Phytanic-CoA hydroxylase deficiency
169154,T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,OMIM,608971,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,T-B+ SCID due to IL-7Ralpha deficiency
